Dickinson,MI,21,26922,26937
Dickson,TN,41,35255,47366
Dillingham,AK,1,4029,4996
Dillon,SC,39,29118,30694
Dimmit,TX,42,10386,9845
Dinwiddie,VA,45,22320,25747
District of Columbia,,50,605321,588292
Divide,ND,33,2878,2004
Dixie,FL,8,10674,14942
Dixon,NE,26,6148,6243
Doddridge,WV,47,7000,7262
Dodge,GA,9,17674,20042
Dodge,MN,22,15813,19552
Dodge,NE,26,34499,36004
Dodge,WI,48,76730,87786
Dolores,CO,5,1505,1914
Dona Ana,NM,30,136593,198791
Doniphan,KS,15,8123,7756
Donley,TX,42,3671,3911
Dooly,GA,9,9939,11592
Door,WI,48,25703,27811
Dorchester,MD,19,30282,31846
Dorchester,SC,39,83847,123505
Dougherty,GA,9,96325,95693
Douglas,CO,5,61670,272117
Douglas,GA,9,71611,124495
Douglas,IL,12,19460,19598
Douglas,KS,15,82229,113488
Douglas,MN,22,28727,36075
Douglas,MO,24,11916,13377
Douglas,NE,26,417941,497416
Douglas,NV,27,28010,45406
Douglas,OR,36,95050,104119
Douglas,SD,40,3735,3018
Douglas,WA,46,26389,36177
Douglas,WI,48,41804,43721
Drew,AR,3,17378,18745
Dubois,IN,13,36662,41225
Dubuque,IA,14,86462,92359
Duchesne,UT,43,12608,16216
Dukes,MA,20,11687,15485
Dundy,NE,26,2583,2031
Dunklin,MO,24,33150,31623
Dunn,ND,33,3980,3308
Dunn,WI,48,35998,42329
DuPage,IL,12,785768,929192
Duplin,NC,32,40116,52979
Durham,NC,32,183145,256500
Dutchess,NY,31,260238,292746
Duval,FL,8,677746,849159
Duval,TX,42,12850,12187
Dyer,TN,41,34945,37684
Eagle,CO,5,22297,51359
Early,GA,9,11859,11836
East Baton Rouge,LA,17,381197,430317
East Carroll,LA,17,9663,8302
East Feliciana,LA,17,19186,20833
Eastland,TX,42,18428,18337
Eaton,MI,21,93183,107390
Eau Claire,WI,48,85377,97406
Echols,GA,9,2372,4093
Ector,TX,42,118652,129570
Eddy,ND,33,2929,2430
Eddy,NM,30,48717,51002
Edgar,IL,12,19554,18919
Edgecombe,NC,32,56608,52647
Edgefield,SC,39,18519,25435
Edmonson,KY,16,10348,11978
Edmunds,SD,40,4345,4008
Edwards,IL,12,7422,6572
Edwards,KS,15,3785,3106
Edwards,TX,42,2260,1938
Effingham,GA,9,25986,50728
Effingham,IL,12,31759,34225
El Dorado,CA,4,127952,175689
El Paso,CO,5,397491,587272
El Paso,TX,42,595350,734669
Elbert,CO,5,9752,22720
Elbert,GA,9,18981,20525
Elk,KS,15,3324,3040
Elk,PA,37,34855,32610
Elkhart,IN,13,156517,197942
Elko,NV,27,34142,47010
Elliott,KY,16,6449,7139
Ellis,KS,15,25983,27464
Ellis,OK,35,4469,3911
